COURSE_ID,TITLE,DESCRIPTION
CC0271EN,cloud pak for integration essentials,in this short course  you will demonstrate the hands on experience with a comprehensive cloud integration solution using ibm cloud pak for integration that you received from attending the digital developer conference  aiops   integration  
WA0103EN,watson analytics for social media,watson analytics for social media fundamentals teaches you the basics of watson analytics for social media on the cloud   in this course you will learn how to setup a project to analyze social data within watson analytics   you will learn how smart topic suggestions service enables you to refine and improve your project   you will learn about how about the base line reports with watson analytics for social media as well as how you can further use the dataset in watson analytics explore and assemble   
DX0108EN,data science bootcamp with python for university professors  advance ,data science bootcamp with python for university professors  advance 
GPXX0PICEN,create a cryptocurrency trading algorithm in python,earning money while you sleep  that may sound too good to be true  but with the right cryptocurrency trading algorithm you can do just that  in this project  you will take a first dive into the world of algorithmic trading with python 
DAI101EN,data   ai essentials,data and ai essentials course
GPXX0W7KEN,securing java microservices with eclipse microprofile json web token  microprofile jwt ,you will explore how to control user and role access to microservices with microprofile json web token  microprofile jwt  
GPXX0QR3EN,enabling distributed tracing in microservices with zipkin,explore how to enable and customize tracing of jax rs and non jax rs methods by using microprofile opentracing and the zipkin tracing system 
BD0145EN,sql access for hadoop,"big sql is another tool to work with your hadoop data  big sql provides a common and familiar syntax for those that are already using sql with their relational data to work with their big data  there is no learning curve here  big sql is about applying sql to your existing data ‚äì there are no proprietary storage formats 

this course will help you understand the big sql architecture and show the different methods for working with big sql  the course will list and explain the big sql data types and show how to create big sql schemas and table  the course will also cover the different file formats supported by big sql such as parquet and orc 
in the lab exercises  you will get a chance to learn how to connect to the big sql server and load in some sample data  then you will see how easy it is to use big sql to work with the data "
HCC105EN,hybrid cloud conference  ai pipelines lab,hybrid cloud conference  ai pipelines lab
DE0205EN,dataops methodology,data ops course
DS0132EN,data   ai  jumpstart your journey,introduce you to data and ai
OS0101EN,introduction to open source,this course introduces you to open source software  you ll learn the key concepts  tools  and processes to contribute to any open source project 
DS0201EN,end to end data science on cloudpak for data,end to end data science on cloudpak for data
BENTEST4,ai for everyone  master the basics,learn what artificial intelligence  ai  is by understanding its applications and key concepts including machine learning  deep learning and neural networks 
CC0210EN,serverless computing using cloud functions   developer i,this course is designed to teach you serverless computing essentials which include how to develop serverless applications composed of loosely coupled  microservice like functions  
PA0103EN,predicting customer satisfaction,predict customer satisfactions with machine learning moddels
HCC104EN,hybrid cloud conference serverless lab,hybrid cloud conference serverless lab
GPXX0A1YEN,validating constraints for javabeans in java microservices,explore the use of bean validation to validate user input data for microservices 
TMP0105EN,getting started with the data  apache spark makers build,"apache spark is an open source processing engine built around speed  ease of use  and analytics  if you have large amounts of data that requires low latency processing that a typical map reduce program cannot provide  spark is the alternative  spark performs at speeds up to 100 times faster than map reduce for iterative algorithms or interactive data mining  spark provides in memory cluster computing for lightning fast speed and supports java  scala  and python apis for ease of development 

spark combines sql  streaming and complex analytics together seamlessly in the same application to handle a wide range of data processing scenarios  spark runs on top of hadoop  mesos  standalone  or in the cloud  it can access diverse data sources such as hdfs  cassandra  hbase  or s3 "
PA0107EN,predicting financial performance of a company,predict financial performance of a company using machine learning models
DB0113EN,db2 fundamentals i,db2 database course
PA0109EN,using clustering methods for investment portfolio analysis,using clustering methods for investment portfolio analysis
PHPM002EN,php web application on a lamp stack,this tutorial walks you through the creation of an ubuntu linux virtual server with apache web server  mysql database and php scripting  
GPXX03HFEN,fundamentals of javascript through rock paper scissors,in this hands on project you will be recreating the game of rock  paper  scissors using the versatile and popular programming language  javascript 
RP0103,using r with databases,the intent of this course is to teach you how to unlock the power and magic of r to analyze data in relational databases  it will show you how to connect to relational databases  access and query the database  update and modify the data  analyze it and perform simple visualizations 
RP0103EN,using r with databases,using r with databases teaches you how to access and perform data analysis using r when your data is stored in a relational database mangement system  rdbms   in the course we will focus on using rodbc as our interface and we will use db2 express c and blu acceleration for cloud as our database server environment 
BD0212EN,spark fundamentals ii,building on your foundational knowledge of spark  take this opportunity to move your skills to the next level  with a focus on spark resilient distributed data set operations this course exposes you to concepts that are critical to your success in this field 
GPXX0IBEN,data science in insurance  basic statistical analysis ,in this guided project you will learn how to calculate basic descriptive statistics using apache spark 
SECM03EN,apply end to end security to a cloud application,this mini course walks you through key security services available in the ibm cloud‚ñ¢ catalog and how to use them together  an application that provides file sharing will put security concepts into practice 
SC0103EN,spark overview for scala analytics,"the ‚  spark overview for scala analytics‚äù course will cover the history of spark and how it came to be  how to build applications with spark  establish an understanding of rdds and dataframes  and other advanced spark topics  apache spark‚ñ¢ is a fast and general engine for large scale data processing  with built in modules for streaming  sql  machine learning and graph processing  having finished this class  a student would be prepared to leverage the core rdd and dataframe apis to perform analytics on datasets 
this course is meant to be an overview of spark and its associated ecosystem   for deeper understanding of spark  we recommend that students take the spark fundamentals courses i and ii "
GPXX0YXHEN,testing a microprofile or jakarta ee application using microshed testing with an open liberty docker container,learn how to use microshed testing to test a microprofile or jakarta ee application 
RP0151EN,r 101,in this introduction to r  you will master the basics of this beautiful open source language  including factors  lists and data frames  with the knowledge gained in this course  you will be ready to undertake your first very own data analysis  with over 2 million users worldwide r is rapidly becoming the leading programming language in statistics and data science  every year  the number of r users grows by 40  and an increasing number of organizations are using it in their day to day activities  leverage the power of r by completing this free r online course today 
TA0105,text analytics 101,analyze text data using analytics and machine learning models
SW0201EN,how to build watson ai and swift apis and make money,expose your cool swift microservices to the world and build a platform to monetize those apis  by using server side swift and your mobile apps  you ll also learn to be a better full stack developer  
TMP0106,data science bootcamp,a multi day intensive  in person data science bootcamp offered by big data university
GPXX0BUBEN,insurance risk assessment with montecarlo method using apache spark ,learn about the monte carlo method and calculate the ruin probability of an insurance company using apache spark 
ST0201EN,statistics 201,statistics courses teaching basic statistical anlysis methods
ST0301EN,statistics 301,statistics courses teaching advanced statistical anlysis methods
SW0101EN,build swift mobile apps with watson ai services,build three ai ios apps in the cloud by using watson services so that you can analyze the emotion and sentiment in text  recognize what s in a photo  and convert text to speech 
TMP0101EN,text analysis,analyze text data using various analytics and machine learning models
DW0101EN,introduction to machine learning with sound,get hands on experience creating and training machine learning models so that you can predict what animal is making a specific sound  like a cat purring or a dog barking  integrate those models in a simple web page that you build in node red  then  add visual recognition so that you can identify the image of an animal   
BD0143EN,using hbase for real time access to your big data,this course introduces you to hbase  the open source hadoop database used for random  real time read writes to your big data  the course will cover fundamental concepts of hbase such as hbase system and architecture  the use of the client api to perform data operations on hbase  the various hbase client used to communicate with hbase  how to integrate hbase with a mapreduce job  and more 
WA0101EN,watson analytics 101,welcome to watson analytics 101 
GPXX04HEEN,insurance business modelling and basic actuarial calculations,in this guided project you will learn how to build a mathematical model of an insurance company using risk process and to do risk and revenue assessment 
BD0141EN,accessing hadoop data using hive,hive is a data warehousing tool built on top of hadoop  learn how to easily query and analyze your big data projects with this free apache hive course 
CO0401EN,beyond the basics  istio and ibm cloud kubernetes service,start managing your microservices with istio on ibm cloud kubernetes service  this course shows you how to better  control traffic to services  observe service health  and secure the service mesh 
ML0122ENv1,accelerating deep learning with gpu,majority of data in the world are unlabeled and unstructured data  for instance images  sound  and text data  shallow neural networks cannot easily capture relevant structure in these kind of data  but deep networks are capable of discovering hidden structures within¬†these data  in this course  you will use tensorflow library to apply deep learning on different data types to solve real world problems 
BD0151EN,text analytics 101,the analysis of emails  blogs  tweets  forums and other forms of unstructured text data constitutes what we call text analytics   text analytics is applicable to most industries  for example  if your company is suspicious about company secrets being leaked to competitors by employees  text analytics can help analyze millions of employees   emails   if you would like to find common pain points your customers face when using your products  you can analyze their comments and questions in forums  if you would like to measure positive or negative perceptions of a company  brand  or product  you can perform sentiment analysis using text analytics  this course teaches you the basics of text analytics 
TA0106EN,text analytics at scale,a continuation of text analytics getting results with systemt  this course shows how early information extraction systems based on a standard formalism of cascading grammars suffer from fundamental limitations in both expressivity and runtime performance  the class explains in detail how these limitations are addressed via the declarative principles in the systemt information extraction system  resulting in extractors that are scalable  accurate and easy to maintain and enhance for a new domain 
TMP107,data science bootcamp with python,data science bootcamp with python
ML0111EN,machine learning with apache systemml,apache systemml is a declarative style language designed for large scale machine learning  it provides automatic generation of optimized runtime plans ranging from single node  to in memory  to distributed computations on apache hadoop and apache spark  systemml algorithms are expressed in r like or python like syntax that includes linear algebra primitives  statistical functions and ml specific constructs  
GPXX048OEN,action classification task based on internet firewall logs,learn how to build a mathematical model of an insurance company using risk process and to do risk and revenue assessment  
CO0201EN,container   kubernetes essentials with ibm cloud,get hands on experience with kubernetes container orchestration  learn how kubernetes and ibm cloud kubernetes service help you more easily deploy and scale containers and applications 
GPXX01DCEN,data science in health care  advanced prognostication using neural networks,learn to predict the covid 19 spread dynamics in the world using neural networks of different structures  
GPXX04XJEN,advanced machine   deep learning for spam classification task,learn to build the machine   deep learning models at the junction of nlp and network security areas by the help of sms spam collection dataset with the helping frameworks   libraries 
GPXX0JZ4EN,visual data analysis in banking,learn to master the visual data analysis in banking for machine learning models  
GPXX0ZYVEN,secure analysis of credit card dataset,learn to make the preliminary data analysis in security area based on credit clients card dataset with the helping frameworks and libraries 
GPXX0ZMZEN,data science in health care  advanced machine learning classification,learn to apply an advanced analysis of big data to the spread of covid 19 in the world  
GPXX0742EN,network traffic anomaly detection  intrusion detection task ,learn to build the model at the junction of nlp and network security areas with the help of intrusion detection evaluation dataset  iscxids2012  and the helping frameworks   libraries 
GPXX0KV4EN,getting started with node js,have you heard of node js before  node js is one of the most popular technology to create server side apps  why  because if you know javascript  you build both the frontend and the backend using javascript  take this guided project to get started on node js 
GPXX01RYEN,getting started with mysql command line,in this project  you will use the mysql command line interface  cli  to create a database and to restore the structure and contents of tables  then you will learn how to explore and query tables  finally  you will learn how to dump backup tables from database 
CC0120EN,an introduction to ibm cloud satellite,"a short introduction to ibm cloud satellite  learn why clients are so excited to implement the features and functionality ibm cloud satellite provides 
"
QC0101EN,introduction to quantum computing,this course introduces you to the strange world of quantum computing 
GPXX0YMEEN,launch an ai hotdog detector as a serverless python app,have you ever wondered if a picture has a hotdog in it or not  well  no longer do you have to wonder‚ you can now prove it  with this fun project  you‚ will learn how to create and launch a web app in python that tells you just that  whether or not a picture has a hotdog in it  let  s settle the great debate once and for all  learning skills that can help you land your next big job or pursue your million dollar idea while you  re at it 
GPXX0Q8AEN,exploratory data analysis  eda  with pandas in banking,learn to master the exploratory data analysis  eda  in banking with pandas framework 
TA0105EN,text analytics 101,from social media to news articles to machine logs  text data is everywhere  are you interested in learning how to derive valuable insights from text data  enroll today and learn about the hot topic of text analytics from experts at ibm 
GPXX0XFQEN,create tables and load data in mysql using phpmyadmin,in this project  you will learn how to create tables and load data in the mysql database service using the phpmyadmin graphical user interface  gui  tool 
GPXX07REN,relational model concepts,in this project  you will learn the concepts of a relational model including the terms entity  attribute  relation  degree  and cardinality  then apply the concepts you have learned to a real world example of a database 
PA0101EN,predictive modeling fundamentals i,the predictive modelling fundamentals i course where students can take this course many times as they wish and is totally free  after the students completed the course  they will be to print their online certificate of achievement    labs are available for download only for free trial of ibm spss modeler 
BC0202EN,build an iot blockchain network for a supply chain,learn how to use a an iot asset tracking device  build a blockchain network  and configure a node red dashboard to monitor a perishable network supply chain  you can also use a simulated tracker if you don t want to purchase and set up the hardware 
BC0101EN,blockchain essentials,understand blockchain technology and how it can solve business problems  learn the basics of developing applications with chaincode 
GPXX0725EN,getting started with postgresql command line,in this project  you will use the postgresql command line interface  cli  to a create database and to restore the structure and contents of tables  then you will learn how to explore and query tables  finally  you will learn how to dump backup tables from a database 
BC0201EN,ibm blockchain foundation developer,dive deeper into blockchain business networks and their components  ledgers  consensus  smart contracts  and more  learn how to build your first blockchain application and get more experience with hyperledger composer and chaincode to build networks  
GPXX0MIIEN,keys and constraints in mysql,in this project  you will learn how to add keys to create relationships between the tables and how to use constraints to enforce rules on the data entry in the mysql database service using the phpmyadmin graphical user interface  gui  tool 
BD0223EN,exploring spark s graphx,spark provides a graph parallel computation library in graphx  graph parallel is a paradigm that allows representation of your data as vertices and edges  spark s graphx provides a set of fundamental operators in addition to a growing collection of algorithms and builders to simplify graph analytics tasks 
GPXX0435EN,data science in health care  basic statistical analysis ,in this guided project you will learn how to download  pre preparate and make statistical analysis of elisa tests and collected information about igg and igm  vaccination influenza  vaccination tuberculosis and previous diseases and blood groups 
GPXX06ZLEN,create tables and load data in postgresql using pgadmin,in this project  you will learn how to create tables and load data in the postgresql database service using the pgadmin graphical user interface  gui  tool 
GPXX0QS6EN,monitoring the metrics of java microservices using eclipse microprofile metrics,you will explore how to provide system and application metrics from a microservice with microprofile metrics 
GPXX07YGEN,configuring microservices running in kubernetes,explore how to externalize configuration using microprofile config and configure your microservices using kubernetes configmaps and secrets 
AI0111EN,game playing ai with swift for tensorflow  s4tf ,in this course  you re going to learn how to accelerate machine learning model development with google s new swift for tensorflow framework  by building ai agents to play games like tic tac toe  cartpole  and 2048 
GPXX0QJFEN,enabling cross origin resource sharing  cors  in a restful java microservice,learn how to enable cross origin resource sharing  cors  in open liberty without writing java code 
GPXX0LLEEN,getting started with db2 on cloud,in this project  you will learn how to create tables and load data in ibm db2 
BD0121EN,apache pig 101,pig was initially developed at yahoo  to allow people using hadoop to focus more on analyzing large data sets and spend less time having to write mapper and reducer programs  like actual pigs  who eat almost anything  the pig programming language is designed to handle any kind of data‚ hence the name 
BD0135EN,developing distributed applications using zookeeper,in this course  you will explore the zookeeper framework in tandem with ibm biginsights modules and java to learn how to develop and manage distributed applications in the domain of big data  real world examples will be used to contextualize and motivate further study 
BD0133EN,controlling hadoop jobs using oozie,this apache oozie course teaches you how to control hadoop jobs on your big data projects  even better  the materials and software provided are all free 
BD0131EN,moving data into hadoop,this course describes techniques for moving data into hadoop  there are a variety of ways to get data into hadoop from simple hadoop shell commands to more sophisticated processes  several techniques are presented but three  sqoop  flume  and data click are covered in greater detail 
BD0115EN,mapreduce and yarn,string together your understanding of yet another resource negotiator  yarn  by gaining exposure to mapreduce1  the tool sets that start the processing of big data 
GPXX04V3EN,deploy a web server using python and ibm cloud engine,deploy a web server using python and ibm cloud engine
GPXX05P1EN,acknowledging messages using microprofile reactive messaging,learn how to acknowledge messages by using microprofile reactive messaging 
GPXX0D14EN,build a personal movie recommender with django,"choosing a good movie to watch on a weekend evening is always hard   it would be great if there is a 
handy movie recommender to help you make a good decision "
GPXX0G3KEN,managing and injecting dependencies into java microservices using contexts and dependency injection  cdi ,"learn how to use contexts and dependency injection  cdi  to manage scopes and inject dependencies into microservices 

"
BD0211EN,spark fundamentals i,ignite your interest in spark with an introduction to the core concepts that make this general processor an essential tool set for working with big data 
GPXX0HZ2EN,deploying microservices to kubernetes,deploy microservices in open liberty docker containers to kubernetes and manage them with the kubernetes cli  kubectl 
GPXX04TNEN,getting started with open liberty,learn how to develop a java application on open liberty with maven and docker 
GPXX0IHMEN,consuming restful java microservices asynchronously using eclipse microprofile rest client,learn how to use microprofile rest client to invoke restful microservices asynchronously over http 
ST0101EN,statistics 101,take this course and you won t fail statistics  welcome to the statistics 101 course  taught by murtaza haider  assistant professor at ryerson university  statistics is one of the most challenging topics to learn  but murtaza brings a gentle introduction to statistics in practice  learn about descriptive statistics  variance  probability  correlation  and data visualization  this course ends with a fully guided statistics exercise exploring the ‚  hot‚äù topic of  do good looking professors get better teaching evaluations  a free trial of spss statistics is included in this course     
BD0153EN,analyzing big data with a spreadsheet ui,this course is designed to introduce the student to the capabilities of bigsheets  bigsheets is a component of ibm biginsights  it provides the analyst the ability to be able to visualize and analyze data stored hdfs using a spreadsheet type interface without any programming 
DP0101EN,openrefine 101,"this introduction course is for a less technical user  business analyst or consultant interested to learn data science 


"
BD0137EN,solr 101,this course introduce you to solr
ML0120EN,deep learning with tensorflow,majority of data in the world are unlabeled and unstructured data  for instance images  sound  and text data  shallow neural networks cannot easily capture relevant structure in these kind of data  but deep networks are capable of discovering hidden structures within¬†these data  in this course  you will use tensorflow library to apply deep learning on different data types to solve real world problems 
GPXX0E3QEN,building fault tolerant microservices with the  fallback annotation,explore how to manage the impact of failures by using microprofile and istio fault tolerance to add retry and fallback behaviours to microservices 
GPXX0XV3EN,consuming restful java microservices with template interfaces using eclipse microprofile rest client,learn how to use microprofile rest client to invoke restful microservices over http in a type safe way 
CB0201EN,build chatbots with watson assistant,in this course  you ll explore the watson conversation service in depth  you ll watch videos that explain conversational concepts and apply them to build a chatbot  you will complete seven hands on labs  culminating in the creation of your own fully functional chatbot 
CB0105ENv1,node red  basics to bots,create cognitive web apps with node red to translate text  analyze tone  and send tweets  build a chatbot with watson assistant  formerly conversation  and facebook messenger 
GPXX0NHZEN,normalization   keys   constraints in relational database,in this project  you will learn about normalization  keys  and constraints in ibm db2 on cloud using sql  first  you will learn how to minimize data redundancy and inconsistency in a database by normalizing tables  next  you will learn how to use keys to uniquely identify a record in a table  to establish a relationship between tables  and to identify the relation between them  lastly  you will learn about different kinds of relational model constraints that help to maintain data integrity in a relational data model 
CL0101EN,ibm cloud essentials,the ibm cloud name has been changed to ibm cloud  get hands on experience with ibm cloud  cloud foundry  and best practices for agile and test driven development 
CO0301EN,getting started with microservices with istio and ibm cloud kubernetes service,discover how microservices and istio pair together for cloud native apps  learn how istio and ibm cloud kubernetes service help you securely and seamlessly deploy containers and apps 
GPXX0XENEN,playing tictactoe with reinforcement learning and openai gym,learn how to create and teach an agent that never loses to play tictactoe using a reinforcement learning algorithm called temporal difference learning and open ai gym
GPXX0HAAEN,deploying a microservice to openshift by using a kubernetes operator,explore how to deploy a microservice to red hat openshift by using a kubernetes operator 
DA0201EN,data analysis demos,this course is about providing demonstrations and showing results with the goal of inspiring you to take more technical and in depth courses
DJ0101EN,data journalism  first steps  skills and tools,this free data journalism course presents a holistic approach to data journalism  and answers fundamental questions about data journalism 
CP0101EN,mathematical optimization for business problems,mathematical optimization for business problems
DB0111EN,db2 academic training,db2 academic training
DB0115EN,db2 fundamentals ii,db2 fundamentals ii
COM001EN,scalable web applications on kubernetes,this mini course walks you through how to scaffold a web application  run it locally in a container  and then deploy it to a kubernetes cluster created with kubernetes service  additionally  you will learn how to bind a custom domain  monitor the health of the environment  and scale the application 
DA0151EN,data analysis using r 101,data analysis using r 101 teaches you how to perform data analysis using the r language  r is a powerful open source language that is ideal for analyzing both structured and unstructured data  in this course we will focus on performing analysis of unstructured data files 
DB0151EN,nosql and dbaas 101,in this nosql course  we will provide an overview of the nosql database landscape  the benefits of using a database as a service offering  and where cloudant fits into the picture  additionally  we‚ will get you started with using cloudant by providing tutorials on account sign up  creating and replicating databases  loading and querying data  and conclude by pointing you to additional resources to continue on your education 
CO0302EN,kubernetes operators advanced,this course covers advanced operator topics including reconciliation  use of operator lifecycle manager to deploy and upgrade operators  and use of scorecard to test operators 
GPXX0T0FEN,project  deploy a serverless app for image processing,in this project you will learn about serverless computing  will practice deploying a real application to a serverless environment based on ibm cloud code engine powered by kubernetes and knative open source projects  
DS0107,data science career talks,data science career talks
DS0110EN,data science with open data,data science with open data
DX0107EN,data science bootcamp with python for university professors,data science bootcamp with python for university professors
DS0321EN,bitcoin 101,greetings and welcome to the introduction to bitcoin course 
DS0105EN,data science hands on with open source tools,what tools do data scientists use  in this course  you ll learn how to use the most popular data science tools  including jupyter notebooks  rstudio ide  apache zeppelin  and more 
DS0103EN,data science methodology,grab you lab coat  beakers  and pocket calculator‚wait what  wrong path  fast forward and get in line with emerging data science methodologies that are in use and are making waves or rather predicting and determining which wave is coming and which one has just passed 
GPXX0I4FEN,creating asynchronous java microservices using microprofile reactive messaging,learn how to write reactive java microservices using microprofile reactive messaging 
GPXX06KEEN,build a smart search form with algolia,great search is an essential feature that all of the best applications share  in this project  we ll leverage the power of algolia to build our own smart search form from scratch 
GPXX0YBFEN,documenting restful apis using microprofile openapi,explore how to document and filter restful apis from code or static files by using microprofile openapi 
LB0109ENv1,reactive architecture  distributed messaging patterns,reactive architecture  distributed messaging patterns
GPXX0KHHEN,data science in agriculture  land use classification,in this lab  we will learn the basic methods of images transformation classification 
LB0111EN,reactive architecture  cqrs   event sourcing,reactive architecture  cqrs   event sourcing
ML0115EN,deep learning 101,deep learning 101
LB0105ENv1,reactive architecture  reactive microservices,when we use the term reactive  we are usually talking about reactive microservices  but what is a microservice  and how can we make it reactive  this course will explore the difference between monoliths and microservices and show the journey to making a system reactive 
LB0103ENv1,reactive architecture  domain driven design,domain driven design is a technique commonly used to build reactive systems  this course will introduce the core elements of domain driven design  it will also explain how those elements relate to reactive systems 
IT0101EN,building robots with tjbot,learn how to program a simple robot  tjbot  to move its arm  recognize objects  flash a light  speak  and more  you can build simple apps to control tjbot by using node js or even node red  if you don t want to purchase the tjbot  you use a simulator instead 
CC0250EN,building cloud native and multicloud applications,"this course introduces you to concepts related to migrating  modernizing  building and delivering applications in cloud native and multicloud environments   you will learn how to make informed decisions about application migration and enterprise modernization   

this course is of interest to anyone and everyone who wants to learn about cloud native and multicloud environments  it provides information to those who want to work on cloud native development projects  on legacy modernization projects  on devops engineering projects or as it cloud administrators "
BD0101EN,big data 101,how big is big and why does big matter and what does apache hadoop have to do with it  in this course you will see the big data big picture and you will learn the terminology used in big data discussions 
EE0101EN,modernizing java ee applications,learn about the techniques and tools available to take existing applications and update them to run on cloud native computing platforms  complete this course to level up in your understanding of modernization and migration options and earn an ibm badge 
GPXX04P5EN,data science in agriculture  prognostication using by neural network,in this lab  we will learn the basic methods of forecasting using linear regression and neural networks  
CO0101EN,docker essentials  a developer introduction,learn how to use containers for your applications  create and run your first docker container  then  learn how to run containers in production and solve problems of orchestration such as high availability  service discovery  and reconciliation 
ML0122ENv3,accelerating deep learning with gpus,training complex deep learning models with large datasets takes along time  in this course  you will learn how to use accelerated gpu hardware to overcome the scalability problem in deep learning 
LB0107ENv1,reactive architecture  building scalable systems,reactive architecture  building scalable systems
CB0101EN,build your own chatbots,learn how to build chatbots without having to write any code by leveraging watson assistant  then deploy your chatbot to a real site in less than five minutes 
GPXX0PG8EN,data science in agriculture  basic statistical analysis and geo visualisation,in this lab  we will learn how to download data  perform basic statistical analysis  visualize and display it on dynamic maps 
ML0101EN,machine learning with python,are the phrases ‚  it is certain    ‚  yes you may rely on it    ‚  reply hazy try again   common in your predictions  make room on your shelf for your magic eight ball and take this opportunity to see how machine learning can be a beneficial tool for predicting future trends  all with a bit more than oil and blue die  all signs point to yes as an indicator you will benefit from this experience 
CB0103EN,build your own chatbot,learn how to build chatbots without having to write any code by leveraging watson assistant  then deploy your chatbot to a real site in less than five minutes 
ML0109EN,machine learning   dimensionality reduction,machine learning   dimensionality reduction
ML0101ENv3,machine learning with python,machine learning can be an incredibly beneficial tool to uncover hidden insights and predict future trends  this free machine learning with python course will give you all the tools you need to get started with supervised and unsupervised learning 
GPXX0M7ZEN,consuming a restful java web service using json b and json p,explore how to access a simple restful web service and consume its resources in java using json b and json p 
CC0121EN,an introduction to ibm cloud for financial services,"learn about the target market segment for financial services  customer issues and challenges  and the benefits of ibm cloud for financial services  

"
DA0101EN,data analysis with python,in this course you will learn about  data acquisition how to obtain basic insight from a dataset data
GPXX07UGEN,testing reactive java microservices using microshed testing framework,learn how to test reactive java microservices in true to production environments using microshed testing 
GPXX0QU9EN,checking the health of java microservices by using kubernetes readiness and liveness probes,learn how to check the health of microservices on kubernetes by setting up readiness and liveness probes to inspect microprofile health check endpoints 
SC0101EN,scala 101,the typesafe scala 101 for data science curricula is designed to give experienced data developers and data science the know¬≠how to confidently start programming in scala for data science tasks  the course ensures they will have a solid understanding of the fundamentals of the language  the tooling and the development process as well as a good appreciation of the more advanced features  if students already have scala programming experience  then this course could be a useful refresher  yet no previous knowledge of scala is assumed 
GPXX0QTEEN,checking the health of java microservices by using eclipse microprofile health check,explore how to report and check the health of a microservice with microprofile health 
GPXX0WTIEN,train a hotdog image recognition model with python,we all know that machines can do a lot these days  including recognizing whether or not an image has a certain object in it  but did you know that you  too  can train a model to do just that  in this guided project  you‚ will learn how to train a model in python with pytorch  a machine learning library  to detect if a picture has a hotdog in it  this process can be repeated with any object  whether it is a bird  a plane or even superman 
GPXX08WYEN,externalizing configuration for java microservices using eclipse microprofile config,learn how to provide external configuration to microservices using microprofile config 
GPXX0UMSEN,integrating restful services with a reactive system,learn how to integrate restful java microservices with a reactive system by using microprofile reactive messaging 
GPXX0M6UEN,using the cql shell to execute keyspace operations in cassandra,in this guided project  you will use the cassandra query language command line shell and execute keyspace operations in a cassandra database 
GPXX097UEN,performing table and crud operations with cassandra,in this guided project  you will create a table and perform create  read  update  delete  crud  operations in cassandra using the cql shell  cqlsh  command line interface 
SN0111EN,how to create and publish guided projects and hands on labs,in this preview version of the course  only the lab instructions are available to get you started with creating hands on labs and guided projects  in the coming weeks  we will enhance the course with videos  assessments  and a course certificate 
GPXX0JGFEN,building a simple restful java microservice using jax rs and json b,learn how to create a rest service with jax rs  json b  and open liberty 
CO0193EN,hybrid cloud conference   backend services for containers,hybrid cloud conference   backend services for containers
GPXX0HC7EN,transform photos to sketches and paintings with opencv,have you wanted to transform your photographs in an artistic sketch or painting to showcase your creativity ¬† in this guided project you ll do just that  transform your photographs to paintings  sketches and more using opencv in python 
GPXX04MXEN,quick introduction to a b testing,experimental design refers to how users are allocated to the different groups in an experiment  a b testing is an experiment set up to compare two versions of something to decide which performs better 
DS0101EN,introduction to data science,the art of uncovering the insights and trends in data has been around since ancient times  the ancient egyptians used census data to increase efficiency in tax collection and they accurately predicted the flooding of the nile river every year  since then  people working in data science have carved out a unique and distinct field for the work they do  this field is data science  in this course  we will meet some data science practitioners and we will get an overview of what data science is today 
LB0101ENv1,reactive architecture  introduction to reactive systems,this course teaches the core principles behind reactive architecture  it introduces students to why we need reactive systems  and what problems they are trying to solve  it also contrasts reactive architectures with reactive programming  showing how they relate  and how they are different 
